final_star,tries_until_dropout,dropout,union_segment,policy,total_fails,total_destroy,max_consecutive_fail,threshold
23,37,1,low_union,advantage,28,1,9,186.22500309087073
17,33,1,low_union,baseline,28,3,9,241.57761616910477
17,27,1,low_union,advantage,23,2,10,202.39149822869155
19,34,1,low_union,baseline,29,1,8,177.44164817038467
24,45,1,low_union,advantage,34,2,6,160.88919118799149
17,25,1,low_union,baseline,21,2,8,147.87107359484855
17,18,1,low_union,advantage,14,2,11,184.06927271734446
15,10,1,low_union,baseline,10,0,10,164.87298509431395
18,21,1,low_union,advantage,18,0,8,151.5549258080465
17,17,1,low_union,baseline,14,1,10,167.06854231514947
21,31,1,low_union,advantage,25,0,7,158.3690399277121
16,19,1,low_union,baseline,17,1,9,213.74283270145128
17,17,1,low_union,advantage,15,0,11,197.63279513898902
18,40,1,low_union,baseline,31,6,7,179.84054717366766
